date,brand,article_id,category,title,pageviews,unique_visitors,affiliate_clicks,conversions,affiliate_revenue,avg_time_on_page,traffic_source
2024-11-26,Wired,WIR057,Gadgets,2025 Tech Trends,3100,2700,155,19,1140.00,235,organic
2024-11-26,Bon Appetit,BA057,Cookware,Party Serving,1600,1300,80,10,600.00,175,email
2024-11-26,Allure,ALL057,Beauty,Party Ready,2400,2000,120,15,900.00,185,organic
2024-11-27,Vogue,VOG058,Fashion,Sequins and Sparkle,2800,2400,140,17,1020.00,200,organic
2024-11-27,GQ,GQ058,Grooming,Holiday Scents,1900,1600,95,11,660.00,190,organic
2024-11-27,Wired,WIR058,Tech,Gaming Setup,3600,3100,180,23,1380.00,240,organic
2024-11-27,Bon Appetit,BA058,Food,Appetizer Tools,1500,1200,75,9,540.00,170,social
2024-11-27,Allure,ALL058,Beauty,Glitter Makeup,2600,2200,130,16,960.00,195,organic
2024-11-28,Vogue,VOG059,Fashion,NYE Outfits,3300,2800,165,20,1200.00,210,organic
2024-11-28,GQ,GQ059,Style,Party Suits,2400,2000,120,15,900.00,200,social
2024-11-28,Wired,WIR059,Gadgets,Party Tech,2700,2300,135,17,1020.00,225,social
2024-11-28,Bon Appetit,BA059,Cookware,Champagne Tools,1700,1400,85,10,600.00,180,email
2024-11-28,Allure,ALL059,Beauty,NYE Makeup,2900,2500,145,18,1080.00,200,organic
2024-11-29,Vogue,VOG060,Accessories,NYE Accessories,2600,2200,130,16,960.00,195,organic
2024-11-29,GQ,GQ060,Grooming,Fresh Start 2025,2000,1700,100,12,720.00,195,organic
2024-11-29,Wired,WIR060,Tech,Productivity Tech,3300,2800,165,20,1200.00,240,organic
2024-11-29,Bon Appetit,BA060,Food,Meal Prep Tools,1600,1300,80,10,600.00,175,email
2024-11-29,Allure,ALL060,Beauty,New Year Skincare,2700,2300,135,17,1020.00,195,organic
